league,season,team,players_used_,age_,poss_,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_ga,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_ga,per_90_minutes_g_pk,per_90_minutes_ga_pk,url_
ENG-Premier League,1011,Arsenal,27,24.8,,38,418,3420,38,70,51,121,66,4,7,70,6,1.84,1.34,3.18,1.74,3.08,/en/squads/18bb7c10/2010-2011/Arsenal-Stats
ENG-Premier League,1011,Aston Villa,32,27.5,,38,418,3420,38,45,32,77,41,4,6,71,2,1.18,0.84,2.03,1.08,1.92,/en/squads/8602292d/2010-2011/Aston-Villa-Stats
ENG-Premier League,1011,Birmingham City,26,28.0,,38,418,3420,38,37,23,60,35,2,2,59,3,0.97,0.61,1.58,0.92,1.53,/en/squads/ec79b7c2/2010-2011/Birmingham-City-Stats
ENG-Premier League,1011,Blackburn Rovers,29,27.8,,38,418,3420,38,43,28,71,42,1,2,66,5,1.13,0.74,1.87,1.11,1.84,/en/squads/e090f40b/2010-2011/Blackburn-Rovers-Stats
ENG-Premier League,1011,Blackpool,30,26.8,,38,418,3420,38,54,29,83,47,7,8,47,2,1.42,0.76,2.18,1.24,2.0,/en/squads/7cbf5cb4/2010-2011/Blackpool-Stats
ENG-Premier League,1011,Bolton Wanderers,24,28.1,,38,418,3420,38,50,34,84,46,4,5,70,5,1.32,0.89,2.21,1.21,2.11,/en/squads/445d3104/2010-2011/Bolton-Wanderers-Stats
ENG-Premier League,1011,Chelsea,24,28.2,,38,418,3420,38,68,39,107,62,6,8,56,1,1.79,1.03,2.82,1.63,2.66,/en/squads/cff3d9bb/2010-2011/Chelsea-Stats
ENG-Premier League,1011,Everton,24,28.1,,38,418,3420,38,50,33,83,47,3,4,60,5,1.32,0.87,2.18,1.24,2.11,/en/squads/d3fd31cc/2010-2011/Everton-Stats
ENG-Premier League,1011,Fulham,29,29.8,,38,418,3420,38,48,32,80,46,2,3,52,1,1.26,0.84,2.11,1.21,2.05,/en/squads/fd962109/2010-2011/Fulham-Stats
ENG-Premier League,1011,Liverpool,30,26.9,,38,418,3420,38,58,30,88,51,7,8,64,2,1.53,0.79,2.32,1.34,2.13,/en/squads/822bd0ba/2010-2011/Liverpool-Stats
ENG-Premier League,1011,Manchester City,27,25.4,,38,418,3420,38,56,35,91,48,8,9,76,5,1.47,0.92,2.39,1.26,2.18,/en/squads/b8fd03ef/2010-2011/Manchester-City-Stats
ENG-Premier League,1011,Manchester Utd,29,28.3,,38,418,3420,38,75,59,134,72,3,5,59,3,1.97,1.55,3.53,1.89,3.45,/en/squads/19538871/2010-2011/Manchester-United-Stats
ENG-Premier League,1011,Newcastle United,30,26.3,,38,418,3420,38,55,35,90,50,5,5,76,2,1.45,0.92,2.37,1.32,2.24,/en/squads/b2b47a98/2010-2011/Newcastle-United-Stats
ENG-Premier League,1011,Stoke City,25,27.6,,38,418,3420,38,44,28,72,41,3,3,70,2,1.16,0.74,1.89,1.08,1.82,/en/squads/17892952/2010-2011/Stoke-City-Stats
ENG-Premier League,1011,Sunderland,31,25.0,,38,418,3420,38,41,23,64,37,4,5,64,5,1.08,0.61,1.68,0.97,1.58,/en/squads/8ef52968/2010-2011/Sunderland-Stats
ENG-Premier League,1011,Tottenham Hotspur,28,26.6,,38,418,3420,38,54,34,88,49,5,5,51,2,1.42,0.89,2.32,1.29,2.18,/en/squads/361ca564/2010-2011/Tottenham-Hotspur-Stats
ENG-Premier League,1011,West Brom,28,26.7,,38,418,3420,38,52,37,89,48,4,6,55,7,1.37,0.97,2.34,1.26,2.24,/en/squads/60c6b05f/2010-2011/West-Bromwich-Albion-Stats
ENG-Premier League,1011,West Ham United,35,27.9,,38,418,3420,38,41,21,62,36,5,6,59,1,1.08,0.55,1.63,0.95,1.5,/en/squads/7c21e445/2010-2011/West-Ham-United-Stats
ENG-Premier League,1011,Wigan Athletic,25,25.8,,38,418,3420,38,37,20,57,35,2,3,69,4,0.97,0.53,1.5,0.92,1.45,/en/squads/e59ddc76/2010-2011/Wigan-Athletic-Stats
ENG-Premier League,1011,Wolves,30,25.8,,38,418,3420,38,45,29,74,42,3,3,63,2,1.18,0.76,1.95,1.11,1.87,/en/squads/8cec06e1/2010-2011/Wolverhampton-Wanderers-Stats
